security_code,trade_date,adj_factor,data_date
000001.SZ,1992-02-28,2.454,2023-07-31
000002.SZ,1992-02-28,1.624,2023-07-31
000003.SZ,1992-02-28,1.0,2023-07-31
000004.SZ,1992-02-28,1.024,2023-07-31
000005.SZ,1992-02-28,1.0,2023-07-31
000009.SZ,1992-02-28,1.0,2023-07-31
000012.SZ,1992-02-28,1.0,2023-07-31
600601.SH,1992-02-28,5.005,2023-07-31
600602.SH,1992-02-28,1.0,2023-07-31
600603.SH,1992-02-28,1.0,2023-07-31
600651.SH,1992-02-28,5.0,2023-07-31
600652.SH,1992-02-28,5.0,2023-07-31
600653.SH,1992-02-28,10.0,2023-07-31
600654.SH,1992-02-28,1.0,2023-07-31
600656.SH,1992-02-28,1.0,2023-07-31
