security_code,trade_date,adj_factor,data_date
000001.SZ,1992-03-27,2.454,2023-07-31
000002.SZ,1992-03-27,1.949,2023-07-31
000003.SZ,1992-03-27,1.0,2023-07-31
000004.SZ,1992-03-27,1.024,2023-07-31
000005.SZ,1992-03-27,1.0,2023-07-31
000009.SZ,1992-03-27,1.0,2023-07-31
000012.SZ,1992-03-27,1.0,2023-07-31
000016.SZ,1992-03-27,1.0,2023-07-31
600601.SH,1992-03-27,5.005,2023-07-31
600602.SH,1992-03-27,1.011,2023-07-31
600603.SH,1992-03-27,1.0,2023-07-31
600604.SH,1992-03-27,1.0,2023-07-31
600605.SH,1992-03-27,1.0,2023-07-31
600606.SH,1992-03-27,1.0,2023-07-31
600607.SH,1992-03-27,1.0,2023-07-31
600608.SH,1992-03-27,1.0,2023-07-31
600651.SH,1992-03-27,5.0,2023-07-31
600652.SH,1992-03-27,5.0,2023-07-31
600653.SH,1992-03-27,10.0,2023-07-31
600654.SH,1992-03-27,1.0,2023-07-31
600656.SH,1992-03-27,1.0,2023-07-31
