security_code,trade_date,adj_factor,data_date
000005.SZ,1990-12-20,1.0,2023-07-31
600601.SH,1990-12-20,1.0,2023-07-31
600602.SH,1990-12-20,1.0,2023-07-31
600651.SH,1990-12-20,1.0,2023-07-31
600652.SH,1990-12-20,1.0,2023-07-31
600653.SH,1990-12-20,1.0,2023-07-31
600654.SH,1990-12-20,1.0,2023-07-31
600656.SH,1990-12-20,1.0,2023-07-31
