security_code,trade_date,adj_factor,data_date
600601.SH,1993-01-29,97.609,2023-07-31
600602.SH,1993-01-29,101.081,2023-07-31
600603.SH,1993-01-29,10.0,2023-07-31
600604.SH,1993-01-29,10.0,2023-07-31
600605.SH,1993-01-29,10.0,2023-07-31
600606.SH,1993-01-29,10.0,2023-07-31
600607.SH,1993-01-29,10.0,2023-07-31
600608.SH,1993-01-29,10.0,2023-07-31
600609.SH,1993-01-29,15.661,2023-07-31
600610.SH,1993-01-29,10.0,2023-07-31
600611.SH,1993-01-29,10.0,2023-07-31
600612.SH,1993-01-29,10.0,2023-07-31
600613.SH,1993-01-29,10.0,2023-07-31
600614.SH,1993-01-29,10.0,2023-07-31
600615.SH,1993-01-29,10.0,2023-07-31
600616.SH,1993-01-29,10.0,2023-07-31
600617.SH,1993-01-29,10.0,2023-07-31
600618.SH,1993-01-29,10.0,2023-07-31
600619.SH,1993-01-29,1.0,2023-07-31
600620.SH,1993-01-29,10.0,2023-07-31
600621.SH,1993-01-29,10.0,2023-07-31
600622.SH,1993-01-29,10.0,2023-07-31
600623.SH,1993-01-29,10.0,2023-07-31
600624.SH,1993-01-29,1.0,2023-07-31
600625.SH,1993-01-29,1.0,2023-07-31
600626.SH,1993-01-29,1.0,2023-07-31
600627.SH,1993-01-29,1.0,2023-07-31
600628.SH,1993-01-29,1.0,2023-07-31
600651.SH,1993-01-29,50.0,2023-07-31
600652.SH,1993-01-29,50.0,2023-07-31
600653.SH,1993-01-29,100.0,2023-07-31
600654.SH,1993-01-29,100.0,2023-07-31
600655.SH,1993-01-29,10.0,2023-07-31
600656.SH,1993-01-29,1.0,2023-07-31
