security_code,trade_date,adj_factor,data_date
000001.SZ,1991-06-12,1.409,2023-07-31
000002.SZ,1991-06-12,1.541,2023-07-31
000004.SZ,1991-06-12,1.0,2023-07-31
000005.SZ,1991-06-12,1.0,2023-07-31
600601.SH,1991-06-12,5.0,2023-07-31
600602.SH,1991-06-12,1.0,2023-07-31
600651.SH,1991-06-12,1.0,2023-07-31
600652.SH,1991-06-12,1.0,2023-07-31
600653.SH,1991-06-12,10.0,2023-07-31
600654.SH,1991-06-12,1.0,2023-07-31
600656.SH,1991-06-12,1.0,2023-07-31
